gene chr start
22252 LINC02087 chr17 15721056
22253 ZSWIM7 chr17 15903006
22254 TTC19 chr17 15902693
22255 MIR1288 chr17 16185327
22256 UBB chr17 16284106
22257 TRPV2 chr17 16318855
22258 LRRC75A-AS1 chr17 16342300
22259 SNORD49B chr17 16342822
22260 SNORD49A chr17 16343349
22261 SNORD65 chr17 16344539
22262 ZNF287 chr17 16472526
22263 ZNF624 chr17 16557167
22264 USP32P1 chr17 16690205
22265 FAM106CP chr17 16692056
22266 KRT16P2 chr17 16736147
22267 TNFRSF13B chr17 16875402
22268 PLD6 chr17 17109646
22269 FLCN chr17 17140502
22270 NT5M chr17 17206679
22271 MED9 chr17 17380299
22272 RASD1 chr17 17399709
22273 SMCR2 chr17 17581002
22274 RAI1-AS1 chr17 17669616
22275 SMCR5 chr17 17682843
22276 SREBF1 chr17 17740325
22277 MIR6777 chr17 17716859
22278 MIR33B chr17 17717245
22279 DRC3 chr17 17876126
22280 ATPAF2 chr17 17942480
22281 DRG2 chr17 17991180
22282 MYO15A chr17 18012019
22283 LLGL1 chr17 18128935
22284 FLII chr17 18161870
22285 MIEF2 chr17 18163847
22286 TOP3A chr17 18218406
22287 SHMT1 chr17 18266877
22288 MIR6778 chr17 18244200
22289 EVPLL chr17 18281078
22290 LINC02076 chr17 18314472
22291 KRT17P5 chr17 18325494
22292 KRT16P1 chr17 18343221
22293 LGALS9C chr17 18380098
22294 USP32P2 chr17 18424566
22295 FAM106A chr17 18430160
22296 TBC1D28 chr17 18547740
22297 ZNF286B chr17 18585572
22298 FOXO3B chr17 18576494
22299 TRIM16L chr17 18625401
22300 FBXW10 chr17 18647325
22301 TVP23B chr17 18684307
22302 PRPSAP2 chr17 18759611
22303 FAM83G chr17 18908060
22304 GRAP chr17 18950365
22305 SNORD3B-1 chr17 18965224
22306 SNORD3B-2 chr17 18967449
22307 SNORD3D chr17 19015949
22308 GRAPL chr17 19030781
22309 LOC79999 chr17 19065937
22310 SNORD3A chr17 19091328
22311 SNORD3C chr17 19093558
22312 LOC388436 chr17 19118942
22313 EPN2 chr17 19140689
22314 EPN2-IT1 chr17 19174705
22315 EPN2-AS1 chr17 19209574
22316 MIR1180 chr17 19247887
22317 MAPK7 chr17 19281033
22318 MFAP4 chr17 19290532
22319 RNF112 chr17 19314490
22320 SLC47A1 chr17 19437166
22321 SNORA59B chr17 19460872
22322 ALDH3A2 chr17 19552063
22323 SLC47A2 chr17 19620043
22324 ALDH3A1 chr17 19648772
22325 ULK2 chr17 19771239
22326 AKAP10 chr17 19881169
22327 CCDC144CP chr17 20224486
22328 FAM106B chr17 20320332
22329 NOS2P3 chr17 20340136
22330 LGALS9B chr17 20370848
22331 KRT16P3 chr17 20407811
22332 CDRT15L2 chr17 20483036
22333 LOC100287072 chr17 20619795
22334 CCDC144NL chr17 20799453
22335 CCDC144NL-AS1 chr17 20771745
22336 LOC339260 chr17 20841832
22337 USP22 chr17 20946352
22338 LINC01563 chr17 20978868
22339 DHRS7B chr17 21030240
22340 NATD1 chr17 21156578
22341 MAP2K3 chr17 21187967
22342 KCNJ12 chr17 21279698
22343 C17orf51 chr17 21454941
22344 UBBP4 chr17 21729600
22345 FAM27E5 chr17 21825369
22346 FLJ36000 chr17 21904061
22347 MTRNR2L1 chr17 22022436
22348 LOC105371703 chr17 25416267
22349 MIR4522 chr17 25621022
22350 WSB1 chr17 25621105
22351 TBC1D3P5 chr17 25745030
22352 LGALS9 chr17 25958173
22353 NOS2 chr17 26127555
22354 PYY2 chr17 26553588
22355 PPY2P chr17 26574469
22356 TMEM97 chr17 26646120
22357 IFT20 chr17 26662515
22358 TNFAIP1 chr17 26662547
22359 POLDIP2 chr17 26684612
22360 TMEM199 chr17 26684603
22361 MIR4723 chr17 26687676
22362 SEBOX chr17 26692173
22363 VTN chr17 26697373
22364 SARM1 chr17 26698682
22365 SLC46A1 chr17 26733230
22366 SLC13A2 chr17 26800663
22367 FOXN1 chr17 26850958
22368 UNC119 chr17 26879646
22369 PIGS chr17 26898887
22370 ALDOC chr17 26903951
22371 SPAG5 chr17 26926056
22372 SPAG5-AS1 chr17 26926150
22373 SGK494 chr17 26941211
22374 KIAA0100 chr17 26972177
22375 SDF2 chr17 26989190
22376 PROCA1 chr17 27038109
22377 RAB34 chr17 27044907
22378 RPL23A chr17 27046999
22379 SNORD42B chr17 27047567
22380 SNORD4A chr17 27049599
22381 SNORD42A chr17 27050447
22382 SNORD4B chr17 27050698
22383 TLCD1 chr17 27053230
22384 NEK8 chr17 27055831
22385 TRAF4 chr17 27071022
22386 ERAL1 chr17 27181974
22387 MIR451A chr17 27188458
22388 MIR451B chr17 27188388
22389 MIR144 chr17 27188636
22390 MIR4732 chr17 27188748
22391 FLOT2 chr17 27224754
22392 DHRS13 chr17 27230089
22393 SEZ6 chr17 27333081
22394 PIPOX chr17 27369917
22395 MYO18A chr17 27467397
22396 TIAF1 chr17 27402627
22397 CRYBA1 chr17 27573874
22398 NUFIP2 chr17 27621166
22399 MIR4523 chr17 27717679
22400 ABHD15 chr17 27894042
22401 TP53I13 chr17 27895293
22402 GIT1 chr17 27916610
22403 ANKRD13B chr17 27920526
22404 CORO6 chr17 27948441
22405 NSRP1 chr17 28443824
22406 MIR423 chr17 28444096
22407 MIR3184 chr17 28444178
22408 SLC6A4 chr17 28562986
22409 BLMH chr17 28619184
22410 TMIGD1 chr17 28661077
22411 CPD chr17 28705941
22412 TBC1D29 chr17 28886583
22413 LOC107133515 chr17 28903482
22414 SH3GL1P2 chr17 28951335
22415 CRLF3 chr17 29151778
22416 ATAD5 chr17 29158987
22417 ADAP2 chr17 29248753
22418 RNF135 chr17 29297955
22419 DPRXP4 chr17 29302352
22420 MIR4733 chr17 29421443
22421 EVI2B chr17 29641130
22422 EVI2A chr17 29648767
22423 MIR4724 chr17 29861900
22424 MIR193A chr17 29887014
22425 MIR4725 chr17 29902287
22426 MIR365B chr17 29902429
22427 COPRS chr17 30186093
22428 UTP6 chr17 30228729
22429 LRRC37B chr17 30334890
22430 SH3GL1P1 chr17 30367354
22431 LOC105371730 chr17 30470154
22432 ARGFXP2 chr17 30478590
22433 RHBDL3 chr17 30593194
22434 C17orf75 chr17 30669228
22435 MIR632 chr17 30677127
22436 ZNF207 chr17 30677156
22437 CDK5R1 chr17 30814104
22438 TMEM98 chr17 31254927
22439 SPACA3 chr17 31318881
22440 AA06 chr17 31860779
22441 CCL2 chr17 32582295
22442 CCL7 chr17 32597234
22443 CCL11 chr17 32612686
22444 CCL8 chr17 32646065
22445 CCL13 chr17 32683470
22446 CCL1 chr17 32690252
22447 C17orf102 chr17 32906388
22448 TMEM132E chr17 32907767
22449 CCT6B chr17 33288528
22450 ZNF830 chr17 33288548
22451 LIG3 chr17 33307516
22452 RFFL chr17 33390759
22453 RAD51D chr17 33446888
22454 FNDC8 chr17 33448630
22455 NLE1 chr17 33469270
22456 UNC45B chr17 33474835
22457 SLC35G3 chr17 33521412
22458 SLFN5 chr17 33570054
22459 SLFN12 chr17 33759543
22460 SLFN13 chr17 33775856
22461 SLFN12L chr17 33814758
22462 SLFN14 chr17 33885110
22463 LOC107985033 chr17 33880223
22464 LINC02001 chr17 33895132
22465 SNORD7 chr17 33900675
22466 PEX12 chr17 33905656
22467 RASL10B chr17 34058678
22468 MMP28 chr17 34122711
22469 C17orf50 chr17 34087915
22470 TAF15 chr17 34136458
22471 HEATR9 chr17 34195895
22472 CCL5 chr17 34207377
22473 LRRC37A8P chr17 34238027
22474 RDM1 chr17 34257303
22475 LYZL6 chr17 34270714
22476 CCL16 chr17 34308532
22477 CCL14 chr17 34313764
22478 CCL15-CCL14 chr17 34329084
22479 CCL15 chr17 34329084
22480 CCL18 chr17 34391631
22481 CCL3 chr17 34417506
22482 CCL4 chr17 34431219
22483 TBC1D3B chr17 34503984
22484 CCL3L3 chr17 34524147
22485 CCL4L2 chr17 34538464
22486 TBC1D3C chr17 34592022
22487 CCL3L1 chr17 34625731
22488 TBC1D3H chr17 34757007
22489 TBC1D3G chr17 34808046
22490 ZNHIT3 chr17 34842470
22491 PIGW chr17 34890588
22492 GGNBP2 chr17 34900736
22493 DHRS11 chr17 34948225
22494 MRM1 chr17 34958024
22495 LHX1 chr17 35294771
22496 MIR2909 chr17 35391041
22497 SNORA90 chr17 35601716
22498 C17orf78 chr17 35732927
22499 DUSP14 chr17 35849950
22500 DDX52 chr17 36003493
22501 MIR378J chr17 35975084
22502 HNF1B chr17 36105069
22503 YWHAEP7 chr17 36244363
22504 TBC1D3L chr17 36284002
22505 TBC1D3 chr17 36348621
22506 LOC440434 chr17 36413256
22507 MRPL45 chr17 36452988
22508 GPR179 chr17 36499693
22509 SOCS7 chr17 36508006
22510 ARHGAP23 chr17 36584719
22511 EPOP chr17 36831187
22512 MIR4734 chr17 36858584
22513 MLLT6 chr17 36861872
22514 MIR4726 chr17 36875943
22515 CISD3 chr17 36886509
22516 PCGF2 chr17 36904558
22517 PSMB3 chr17 36908965
22518 PIP4K2B chr17 36956158
22519 MIR4727 chr17 36982090
22520 C17orf98 chr17 36997642
22521 RPL23 chr17 37010053
22522 SNORA21 chr17 37009248
22523 LASP1 chr17 37026111
22524 MIR6779 chr17 37071231
22525 LINC00672 chr17 37081420
22526 LINC02079 chr17 37183363
22527 LRRC37A11P chr17 37186158
22528 ARL5C chr17 37322414
22529 CACNB1 chr17 37353956
22530 RPL19 chr17 37356535
22531 STAC2 chr17 37382040
22532 MED1 chr17 37607527
22533 CDK12 chr17 37617763
22534 NEUROD2 chr17 37764175
22535 PPP1R1B chr17 37783176
22536 STARD3 chr17 37793332
22537 TCAP chr17 37821598
22538 PNMT chr17 37824233
22539 PGAP3 chr17 37844323
22540 MIR4728 chr17 37882747
22541 MIEN1 chr17 37886816
22542 GRB7 chr17 37894153
22543 ZPBP2 chr17 38024454
22544 GSDMB chr17 38073793
22545 ORMDL3 chr17 38083099
22546 LRRC3C chr17 38097726
22547 GSDMA chr17 38119225
22548 CSF3 chr17 38171613
22549 MED24 chr17 38210889
22550 MIR6884 chr17 38182662
22551 SNORD124 chr17 38183898
22552 THRA chr17 38218445
22553 NR1D1 chr17 38256978
22554 MSL1 chr17 38278789
22555 CASC3 chr17 38296506
22556 MIR6866 chr17 38318185
22557 RAPGEFL1 chr17 38333262
22558 MIR6867 chr17 38349848
22559 CDC6 chr17 38444145
22560 RARA chr17 38465422
22561 RARA-AS1 chr17 38499388
22562 GJD3 chr17 38520945
22563 TOP2A chr17 38574202
22564 IGFBP4 chr17 38599675
22565 TNS4 chr17 38657854
22566 CCR7 chr17 38716646
22567 KRT222 chr17 38821416
22568 KRT24 chr17 38860002
22569 KRT25 chr17 38911584
22570 KRT27 chr17 38938786
22571 KRT28 chr17 38956211
22572 KRT10 chr17 38978863
22573 TMEM99 chr17 38975343
22574 KRT12 chr17 39023462
22575 KRT20 chr17 39041495
22576 KRT23 chr17 39093895
22577 KRT39 chr17 39123144
22578 KRT40 chr17 39143387
22579 KRTAP3-3 chr17 39150385
22580 KRTAP3-2 chr17 39156138
22581 KRTAP3-1 chr17 39165366
22582 KRTAP1-5 chr17 39183454
22583 KRTAP1-4 chr17 39186377
22584 KRTAP1-1 chr17 39197713
22585 KRTAP2-1 chr17 39203568
22586 KRTAP2-2 chr17 39211463
22587 KRTAP2-3 chr17 39216344
22588 KRTAP2-4 chr17 39222131
22589 KRTAP4-7 chr17 39240458
22590 KRTAP4-8 chr17 39254375
22591 KRTAP4-9 chr17 39261640
22592 KRTAP4-11 chr17 39274606
22593 KRTAP4-12 chr17 39280419
22594 KRTAP4-6 chr17 39296739
22595 KRTAP4-5 chr17 39306054
22596 KRTAP4-4 chr17 39316983
22597 KRTAP4-3 chr17 39324424
22598 KRTAP4-2 chr17 39334460
22599 KRTAP4-1 chr17 39341147
22600 KRTAP9-1 chr17 39346138
22601 KRTAP9-2 chr17 39382899
22602 KRTAP9-3 chr17 39388714
22603 KRTAP9-8 chr17 39394269
22604 KRTAP9-4 chr17 39405938
22605 KRTAP9-9 chr17 39411635
22606 KRTAP9-6 chr17 39421629
22607 KRTAP9-7 chr17 39431949
22608 KRTAP29-1 chr17 39459103
22609 KRTAP16-1 chr17 39465505
22610 KRTAP17-1 chr17 39471947
22611 KRT33A chr17 39507064
22612 KRT33B chr17 39526052
22613 KRT34 chr17 39538636
22614 KRT31 chr17 39553844
22615 LOC100505782 chr17 39558667
22616 KRT37 chr17 39580822
22617 KRT38 chr17 39597596
22618 KRT32 chr17 39623638
22619 KRT35 chr17 39637392
22620 KRT36 chr17 39646116
22621 KRT13 chr17 39661865
22622 KRT15 chr17 39675270
22623 MIR6510 chr17 39673469
22624 KRT19 chr17 39684641
22625 LINC00974 chr17 39710747
22626 KRT9 chr17 39728310
22627 KRT14 chr17 39743147
22628 KRT16 chr17 39769079
22629 KRT17 chr17 39780882
22630 KRT42P chr17 39796451
22631 GAST chr17 39868577
22632 HAP1 chr17 39890898
22633 JUP chr17 39942964
22634 P3H4 chr17 39968451
22635 NT5C3B chr17 39992488
22636 KLHL10 chr17 39991936
22637 KLHL11 chr17 40021684
22638 ACLY chr17 40075275
22639 CNP chr17 40118758
22640 DNAJC7 chr17 40169183
22641 NKIRAS2 chr17 40169593
22642 ZNF385C chr17 40190044
22643 DHX58 chr17 40264751
22644 KAT2A chr17 40273382
22645 HSPB9 chr17 40274755
22646 RAB5C chr17 40307062
22647 KCNH4 chr17 40333296
22648 HCRT chr17 40337470
22649 GHDC chr17 40346550
22650 STAT5A chr17 40439564
22651 PTRF chr17 40575338
22652 MIR548AT chr17 40646790
22653 MIR5010 chr17 40666205
22654 NAGLU chr17 40687950
22655 LOC108783654 chr17 40706820
22656 HSD17B1 chr17 40704575
22657 COASY chr17 40714091
22658 MLX chr17 40719077
22659 PSMC3IP chr17 40729734
22660 FAM134C chr17 40761445
22661 TUBG2 chr17 40811265
22662 PLEKHH3 chr17 40828108
22663 CCR10 chr17 40833845
22664 CNTNAP1 chr17 40834631
22665 MIR6780A chr17 40860169
22666 RAMP2-AS1 chr17 40913275
22667 RAMP2 chr17 40913211
22668 VPS25 chr17 40925453
22669 WNK4 chr17 40932648
22670 COA3 chr17 40950743
22671 CNTD1 chr17 40950853
22672 BECN1 chr17 40975897
22673 MIR6781 chr17 40975961
22674 PSME3 chr17 40985158
22675 AOC2 chr17 40996599
22676 AOC3 chr17 41003200
22677 AOC4P chr17 41019161
22678 LINC00671 chr17 41050751
22679 G6PC chr17 41052813
22680 AARSD1 chr17 41116515
22681 PTGES3L-AARSD1 chr17 41132020
22682 PTGES3L chr17 41132545
22683 RUNDC1 chr17 41132578
22684 RPL27 chr17 41150445
22685 IFI35 chr17 41158741
22686 VAT1 chr17 41174459
22687 RND2 chr17 41177257
22688 BRCA1 chr17 41276132
22689 LOC101929767 chr17 41322420
22690 NBR1 chr17 41322487
22691 TMEM106A chr17 41363845
22692 LINC00854 chr17 41383336
22693 LINC00910 chr17 41466266
22694 ARL4D chr17 41476352
22695 MIR2117 chr17 41522173
22696 DHX8 chr17 41561232
22697 ETV4 chr17 41607803
22698 MEOX1 chr17 41738931
22699 SOST chr17 41836156
22700 DUSP3 chr17 41856368
22701 C17orf105 chr17 41857802
22702 MPP3 chr17 41910547
22703 CD300LG chr17 41924515
22704 MPP2 chr17 41978001
22705 FAM215A chr17 41994575
22706 LINC01976 chr17 42015628
22707 PPY chr17 42019642
22708 NAGS chr17 42082031
22709 TMEM101 chr17 42092397
22710 LSM12 chr17 42144987
22711 G6PC3 chr17 42148097
22712 HDAC5 chr17 42201014
22713 LOC105371789 chr17 42193279
22714 C17orf53 chr17 42219269
22715 ASB16 chr17 42248073
22716 ASB16-AS1 chr17 42264085
22717 TMUB2 chr17 42264318
22718 ATXN7L3 chr17 42275529
22719 UBTF chr17 42297041
22720 MIR6782 chr17 42285207
22721 RUNDC3A-AS1 chr17 42385799
22722 RUNDC3A chr17 42385926
22723 SLC25A39 chr17 42402238
22724 GRN chr17 42422453
22725 FAM171A2 chr17 42441235
22726 ITGA2B chr17 42466969
22727 GPATCH8 chr17 42514219
22728 FZD2 chr17 42634811
22729 LINC01180 chr17 42727717
22730 MEIOC chr17 42733761
22731 CCDC43 chr17 42767165
22732 DBF4B chr17 42785975
22733 ADAM11 chr17 42836546
22734 GJC1 chr17 42907607
22735 HIGD1B chr17 42923720
22736 EFTUD2 chr17 42976736
22737 CCDC103 chr17 42977079
22738 KIF18B chr17 43025079
22739 MIR6783 chr17 43012049
22740 C1QL1 chr17 43045644
22741 NMT1 chr17 43138666
22742 PLCD3 chr17 43209900
22743 MIR6784 chr17 43191801
22744 ACBD4 chr17 43209966
22745 HEXIM1 chr17 43224683
22746 HEXIM2 chr17 43237540
22747 LOC105371795 chr17 43248852
22748 FMNL1 chr17 43299291
22749 MAP3K14-AS1 chr17 43325291
22750 SPATA32 chr17 43339479
22751 ARHGAP27 chr17 43503012
22752 MIR4315-1 chr17 43552801
22753 LRRC37A4P chr17 43597889
22754 MAPK8IP1P2 chr17 43679228
22755 CRHR1-IT1 chr17 43697694
22756 MAPT-AS1 chr17 43972879
22757 SPPL2C chr17 43922255
22758 MAPT-IT1 chr17 43973148
22759 STH chr17 44076615
22760 KANSL1-AS1 chr17 44270938
22761 LRRC37A chr17 44372496
22762 NSFP1 chr17 44450178
22763 ARL17A chr17 44657088
22764 LRRC37A2 chr17 44590075
22765 WNT3 chr17 44896126
22766 GOSR2 chr17 45000482
22767 MIR5089 chr17 45050382
22768 RPRML chr17 45056614
22769 MYL4 chr17 45286427
22770 THCAT158 chr17 45400979
22771 MRPL45P2 chr17 45569986
22772 TBKBP1 chr17 45772629
22773 TBX21 chr17 45810609
22774 OSBPL7 chr17 45899147
22775 MRPL10 chr17 45908907
22776 LRRC46 chr17 45908992
22777 SCRN2 chr17 45918699
22778 SP6 chr17 45928516
22779 LOC102724532 chr17 45973182
22780 PNPO chr17 46018888
22781 PRR15L chr17 46035243
22782 CDK5RAP3 chr17 46047893
22783 COPZ2 chr17 46115168
22784 MIR152 chr17 46114613
22785 CBX1 chr17 46178560
22786 SNX11 chr17 46184894
22787 MIR1203 chr17 46233873
22788 THRA1/BTR chr17 46371708
22789 HOXB1 chr17 46608272
22790 HOXB2 chr17 46622393
22791 HOXB-AS1 chr17 46621712
22792 HOXB3 chr17 46651810
22793 HOXB4 chr17 46655743
22794 MIR10A chr17 46657309
22795 HOXB-AS3 chr17 46667781
22796 HOXB5 chr17 46671103
22797 HOXB6 chr17 46682334
22798 HOXB7 chr17 46688383
22799 HOXB8 chr17 46692301
22800 HOXB9 chr17 46703835
22801 MIR196A1 chr17 46709921
22802 PRAC1 chr17 46799882
22803 PRAC2 chr17 46800529
22804 MIR3185 chr17 46801837
22805 HOXB13 chr17 46806111
22806 TTLL6 chr17 46871686
22807 LOC105371814 chr17 46986345
22808 ATP5G1 chr17 46970147
22809 UBE2Z chr17 46985730
22810 SNF8 chr17 47022204
22811 GIP chr17 47045955
22812 IGF2BP1 chr17 47074773
22813 B4GALNT2 chr17 47209821
22814 GNGT2 chr17 47286743
22815 ABI3 chr17 47287588
22816 PHOSPHO1 chr17 47308128
22817 FLJ40194 chr17 47325604
22818 MIR6129 chr17 47365816
22819 ZNF652 chr17 47439476
22820 PHB chr17 47492220
22821 LINC02075 chr17 47539111
22822 LOC100288866 chr17 47651426
22823 MIR6165 chr17 47588178
22824 NXPH3 chr17 47653297
22825 SLC35B1 chr17 47785313
22826 KAT7 chr17 47865980
22827 TAC4 chr17 47925379
22828 FLJ45513 chr17 47923271
22829 DLX4 chr17 48046561
22830 DLX3 chr17 48072588
22831 LOC284080 chr17 48133103
22832 ITGA3 chr17 48133331
22833 PDK2 chr17 48172100
22834 SAMD14 chr17 48207246
22835 PPP1R9B chr17 48227878
22836 SGCA chr17 48243345
22837 HILS1 chr17 48249837
22838 COL1A1 chr17 48279000
22839 LINC01969 chr17 48292054
22840 TMEM92 chr17 48348766
22841 TMEM92-AS1 chr17 48365216
22842 XYLT2 chr17 48423392
22843 MRPL27 chr17 48450562
22844 EME1 chr17 48450580
22845 LRRC59 chr17 48474914
22846 ACSF2 chr17 48503518
22847 CHAD chr17 48546227
22848 RSAD1 chr17 48556160
22849 MYCBPAP chr17 48585744
22850 EPN3 chr17 48610047
22851 LOC105371824 chr17 48616115
22852 CACNA1G-AS1 chr17 48639469
22853 CACNA1G chr17 48638428
22854 ANKRD40 chr17 48785270
22855 LUC7L3 chr17 48796904
22856 LINC00483 chr17 48844876
22857 MIR8059 chr17 48846010
22858 WFIKKN2 chr17 48912010
22859 TOB1 chr17 48943715
22860 TOB1-AS1 chr17 48944039
22861 NME1-NME2 chr17 49230896
22862 NME1 chr17 49230919
22863 NME2 chr17 49242795
22864 UTP18 chr17 49337896
22865 LINC02071 chr17 49412523
22866 C17orf112 chr17 51062879
22867 KIF2B chr17 51900238
22868 TOM1L1 chr17 52978051
22869 COX11 chr17 53046146
22870 TMEM100 chr17 53800225
22871 NOG chr17 54671059
22872 C17orf67 chr17 54911256
22873 MTVR2 chr17 54962274
22874 TRIM25 chr17 54991409
22875 MIR3614 chr17 54968716
22876 COIL chr17 55038411
22877 SCPEP1 chr17 55055467
22878 RNF126P1 chr17 55122838
22879 LOC101927557 chr17 55600958
22880 LOC101927539 chr17 55685773
22881 CCDC182 chr17 55822690
22882 MRPS23 chr17 55927433
22883 VEZF1 chr17 56065625
22884 SRSF1 chr17 56084707
22885 LOC101927666 chr17 56160565
22886 DYNLL2 chr17 56160779
22887 OR4D1 chr17 56232514
22888 MSX2P1 chr17 56234319
22889 OR4D2 chr17 56247016
22890 EPX chr17 56270084
22891 MKS1 chr17 56296666
22892 LPO chr17 56315786
22893 MPO chr17 56358296
22894 TSPOAP1 chr17 56406152
22895 TSPOAP1-AS1 chr17 56402810
22896 MIR142 chr17 56408679
22897 MIR4736 chr17 56413383
22898 SUPT4H1 chr17 56429599
22899 HSF5 chr17 56565762
22900 MTMR4 chr17 56595251
22901 SEPT4 chr17 56605408
22902 C17orf47 chr17 56621733
22903 RAD51C chr17 56769933
22904 SKA2 chr17 57232800
22905 MIR454 chr17 57215233
22906 MIR301A chr17 57228582
22907 SMG8 chr17 57287370
22908 GDPD1 chr17 57297827
22909 MIR4729 chr17 57443443
22910 CLTC chr17 57697049
22911 PTRH2 chr17 57784959
22912 MIR21 chr17 57918626
22913 TUBD1 chr17 57970306
22914 RPS6KB1 chr17 57970406
22915 RNFT1 chr17 58042117
22916 MIR4737 chr17 58120466
22917 HEATR6 chr17 58156292
22918 LOC105371849 chr17 58156669
22919 WFDC21P chr17 58165828
22920 LOC653653 chr17 58180280
22921 CA4 chr17 58227296
22922 SCARNA20 chr17 58309006
22923 C17orf64 chr17 58499864
22924 LINC01999 chr17 58641906
22925 LOC101927855 chr17 59445065
22926 TBX2-AS1 chr17 59476967
22927 TBX2 chr17 59477256
22928 C17orf82 chr17 59489111
22929 TBX4 chr17 59529778
22930 NACA2 chr17 59668563
22931 INTS2 chr17 60005377
22932 TBC1D3P2 chr17 60353016
22933 EFCAB3 chr17 60447578
22934 METTL2A chr17 60501245
22935 MRC2 chr17 60704761
22936 LOC101927877 chr17 60885862
22937 MIR633 chr17 61021575
22938 CYB561 chr17 61517572
22939 ACE chr17 61554421
22940 DCAF7 chr17 61627795
22941 TACO1 chr17 61678230
22942 LIMD2 chr17 61777519
22943 LOC729683 chr17 61777697
22944 STRADA chr17 61819330
22945 CCDC47 chr17 61851088
22946 FTSJ3 chr17 61905031
22947 PSMC5 chr17 61904769
22948 SMARCD2 chr17 61916088
22949 TCAM1P chr17 61934375
22950 CSH2 chr17 61951089
22951 GH2 chr17 61959302
22952 CSH1 chr17 61974021
22953 CSHL1 chr17 61988688
22954 GH1 chr17 61996212
22955 CD79B chr17 62009714
22956 SCN4A chr17 62050278
22957 PRR29-AS1 chr17 62077259
22958 PRR29 chr17 62075710
22959 ICAM2 chr17 62084283
22960 SNHG25 chr17 62223329
22961 SNORD104 chr17 62223437
22962 SNORA50C chr17 62223698
22963 PECAM1 chr17 62404856
22964 MILR1 chr17 62461566
22965 POLG2 chr17 62493184
22966 DDX5 chr17 62502074
22967 MIR3064 chr17 62496957
22968 MIR5047 chr17 62497431
22969 ARHGAP27P1-BPTFP1-KPNA2P3 chr17 62778117
22970 ARHGAP27P1 chr17 62777622
22971 MIR6080 chr17 62776876
22972 MIR4315-2 chr17 62818220
22973 AMZ2P1 chr17 62971703
22974 LOC100507002 chr17 63096929
22975 CRAT40 chr17 63453658
22976 AXIN2 chr17 63557740
22977 PRKCA-AS1 chr17 64412972
22978 MIR634 chr17 64783189
22979 CACNG1 chr17 65040651
22980 LOC101928021 chr17 65240891
22981 PSMD12 chr17 65362743
22982 MIR548D2 chr17 65467701
22983 MIR548AA2 chr17 65467604
22984 NOL11 chr17 65713948
22985 SNORA38B chr17 65736785
22986 C17orf58 chr17 65989765
22987 KPNA2 chr17 66031717
22988 LINC00674 chr17 66097695
22989 LOC440461 chr17 66194800
22990 AMZ2 chr17 66202269
22991 SLC16A6 chr17 66287405
22992 MIR635 chr17 66420689
22993 LINC01482 chr17 66624294
22994 ABCA8 chr17 66951533
22995 ABCA9-AS1 chr17 67000854
22996 MIR4524B chr17 67095682
22997 MIR4524A chr17 67095773
22998 PRO1804 chr17 67231153
22999 ABCA5 chr17 67311774
23000 LINC01497 chr17 67957847
23001 LINC01028 chr17 68047411
23002 KCNJ16 chr17 68071365
23003 KCNJ2-AS1 chr17 68165543
23004 KCNJ2 chr17 68165675
23005 CASC17 chr17 69198320
23006 LINC02095 chr17 70022120
23007 LINC01152 chr17 70026794
23008 LOC102723517 chr17 70053875
23009 SOX9-AS1 chr17 70112157
23010 LINC02097 chr17 70068473
23011 SOX9 chr17 70117160
23012 LINC02003 chr17 70338951
23013 LINC00511 chr17 70636611
23014 SSTR2 chr17 71161159
23015 COG1 chr17 71189172
23016 FAM104A chr17 71223856
23017 C17orf80 chr17 71228371
23018 CPSF4L chr17 71258019
23019 LOC101928251 chr17 71509821
23020 LOC100134391 chr17 71733992
23021 LINC00469 chr17 71824676
23022 LINC02092 chr17 71782960
23023 RPL38 chr17 72199794
23024 MGC16275 chr17 72209460
23025 DNAI2 chr17 72270385
23026 BTBD17 chr17 72357958
23027 GPR142 chr17 72363644
23028 GPRC5C chr17 72427666
23029 CD300A chr17 72462511
23030 CD300LB chr17 72527613
23031 CD300C chr17 72542310
23032 LOC100130520 chr17 72563482
23033 CD300LD chr17 72588370
23034 C17orf77 chr17 72580817
23035 RAB37 chr17 72667255
23036 CD300LF chr17 72709139
23037 MIR3615 chr17 72744751
23038 NAT9 chr17 72772564
23039 TMEM104 chr17 72772621
23040 GRIN2C chr17 72856007
23041 FDXR chr17 72864876
23042 USH1G chr17 72919358
23043 OTOP2 chr17 72920369
23044 OTOP3 chr17 72931896
23045 HID1 chr17 72968900
23046 HID1-AS1 chr17 72966783
23047 CDR2L chr17 72983726
23048 MRPL58 chr17 73008758
23049 KCTD2 chr17 73028661
23050 ATP5H chr17 73043074
23051 SLC16A5 chr17 73083821
23052 ARMC7 chr17 73106046
23053 NT5C chr17 73127890
23054 SUMO2 chr17 73179098
23055 NUP85 chr17 73201530
23056 GGA3 chr17 73257742
23057 MRPS7 chr17 73257748
23058 MIF4GD chr17 73267311
23059 MIR3678 chr17 73402149
23060 TMEM94 chr17 73452544
23061 MIR6785 chr17 73494628
23062 CASKIN2 chr17 73505969
23063 TSEN54 chr17 73512608
23064 MYO15B chr17 73584138
23065 SMIM5 chr17 73629513
23066 SMIM6 chr17 73642645
23067 SAP30BP chr17 73663195
23068 ITGB4 chr17 73717407
23069 GALK1 chr17 73761280
23070 H3F3B chr17 73776016
